file,track_name,start_lat,start_lon,start_alt,distance_km,begin_time,end_time,time_gap_hours,start_month,start_year
2739.kml,,30.970824,81.2861345,4620.49,0.3369472484845147,2024-10-15 18:51:42,2024-10-17 05:20:50,34.49,10,2024
2740.kml,,30.9782237,81.2836808,4669.55,0.5678178827468695,2024-05-07 12:57:31,2024-05-08 06:25:30,17.47,5,2024
2742.kml,,30.978241,81.283547,4674.952722,0.5760093138763362,2024-07-22 01:08:40,2024-07-23 03:43:26,26.58,7,2024
2743.kml,,30.97842,81.282836,4672.029494,0.6300610392112995,2024-07-08 17:28:08,2024-07-10 06:46:33,37.31,7,2024
2745.kml,,30.978863,81.28176,4671.105566,0.7319336753859027,2024-06-15 13:10:17,2024-06-16 10:25:59,21.26,6,2024
2746.kml,,30.978229,81.283583,4674.658361,0.5730889299670998,2024-08-22 18:28:39,2024-08-24 03:20:11,32.86,8,2024
2747.kml,,30.979774,81.279531,4667.920045,0.9510845985759618,2023-07-30 18:11:09,2023-08-01 05:30:37,35.32,7,2023
2748.kml,,30.9780776,81.2840162,4654.95,0.5379942491470889,2023-08-09 16:42:31,2023-08-11 03:24:53,34.71,8,2023
2749.kml,,30.977508,81.285776,4689.0,0.41959726783646933,2023-10-08 20:17:19,2023-10-09 21:52:05,25.58,10,2023
2750.kml,,30.976645,81.2874,4678.965452,0.3217112023834976,2023-10-15 19:04:45,2023-10-17 07:46:07,36.69,10,2023
2751.kml,,30.978132,81.283836,4669.200195,0.5515962106866836,2024-08-18 16:41:30,2024-08-20 04:32:36,35.85,8,2024
2753.kml,,30.9724921,81.2863232,4633.67,0.15136589599950973,2024-08-15 14:18:06,2024-08-17 04:10:39,37.88,8,2024
2754.kml,,30.969782,81.283882,4651.109863,0.5224141494616872,,,,,
2755.kml,,30.981099,81.275883,4672.433345,1.3103827121558442,2024-10-20 18:35:25,2024-10-21 04:37:58,10.04,10,2024
2757.kml,,30.972822,81.286874,4657.828828,0.11198971336048676,2024-09-30 16:42:29,2024-10-01 05:56:49,13.24,9,2024
2758.kml,,30.972822,81.286874,4657.828828,0.11198971336048676,2024-09-30 16:42:29,2024-10-01 05:56:49,13.24,9,2024
2761.kml,,30.978598,81.282286,4669.908101,0.6774269534688172,2024-07-19 20:10:32,2024-07-21 01:49:51,29.66,7,2024
2762.kml,,30.978228,81.283552,4674.371649,0.5745268743748787,2024-07-30 18:26:11,2024-08-01 02:22:23,31.94,7,2024
2763.kml,,30.978349,81.283123,4673.671821,0.6079487379094592,2024-05-14 18:16:49,2024-05-16 03:26:14,33.16,5,2024
2764.kml,,30.979037,81.282401,4662.0,0.7100070085455306,2024-10-09 00:50:34,2024-10-10 05:10:50,28.34,10,2024
2767.kml,,30.9791104,81.2815964,4647.03,0.7630590724243528,1969-12-31 16:00:00,1969-12-31 16:00:00,0.0,12,1969
2768.kml,,30.9791104,81.2815964,4647.03,0.7630590724243528,1969-12-31 16:00:00,1969-12-31 16:00:00,0.0,12,1969
